id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20201016	1	999000011000230102	900000000000534007	999000041000000102	20201016	20200930
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20201223	1	999000011000230102	900000000000534007	999000041000000102	20201223	20201125
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210127	1	999000011000230102	900000000000534007	999000041000000102	20210127	20201125
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210224	1	999000011000230102	900000000000534007	999000041000000102	20210224	20210120
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210315	1	999000011000230102	900000000000534007	999000041000000102	20210315	20210120
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210331	1	999000011000230102	900000000000534007	999000041000000102	20210331	20210317
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210423	1	999000011000230102	900000000000534007	999000041000000102	20210423	20210317
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210521	1	999000011000230102	900000000000534007	999000041000000102	20210521	20210317
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210707	1	999000011000230102	900000000000534007	999000041000000102	20210707	20210512
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210817	1	999000011000230102	900000000000534007	999000041000000102	20210817	20210707
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20210914	1	999000011000230102	900000000000534007	999000041000000102	20210914	20210901
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20211027	1	999000011000230102	900000000000534007	999000041000000102	20211027	20210929
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20211115	1	999000011000230102	900000000000534007	999000041000000102	20211115	20210929
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20211221	1	999000011000230102	900000000000534007	999000041000000102	20211221	20211124
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20220309	1	999000011000230102	900000000000534007	999000041000000102	20220309	20220216
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20220407	1	999000011000230102	900000000000534007	999000041000000102	20220407	20220216
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20220429	1	999000011000230102	900000000000534007	999000041000000102	20220429	20220413
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20220722	1	999000011000230102	900000000000534007	999000041000000102	20220722	20220511
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20220817	1	999000011000230102	900000000000534007	999000041000000102	20220817	20220706
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20220916	1	999000011000230102	900000000000534007	999000041000000102	20220916	20220706
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20221007	1	999000011000230102	900000000000534007	999000041000000102	20221007	20220706
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20221028	1	999000011000230102	900000000000534007	999000041000000102	20221028	20220706
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20221129	1	999000011000230102	900000000000534007	999000041000000102	20221129	20220928
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20230130	1	999000011000230102	900000000000534007	999000041000000102	20230130	20221123
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20230309	1	999000011000230102	900000000000534007	999000041000000102	20230309	20221123
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20230413	1	999000011000230102	900000000000534007	999000041000000102	20230413	20230215
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20230518	1	999000011000230102	900000000000534007	999000041000000102	20230518	20230215
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20230718	1	999000011000230102	900000000000534007	999000041000000102	20230718	20230412
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20230818	1	999000011000230102	900000000000534007	999000041000000102	20230818	20230607
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20231012	1	999000011000230102	900000000000534007	999000041000000102	20231012	20230802
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20231127	1	999000011000230102	900000000000534007	999000041000000102	20231127	20230802
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20231229	1	999000011000230102	900000000000534007	999000041000000102	20231229	20230927
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20240215	1	999000011000230102	900000000000534007	999000041000000102	20240215	20231122
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20240501	1	999000011000230102	900000000000534007	999000041000000102	20240501	20231122
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20240531	1	999000011000230102	900000000000534007	999000041000000102	20240531	20240410
3EEAF186-3BF1-4DC6-972B-1C37272199DE	20241205	1	999000011000230102	900000000000534007	999000041000000102	20241205	20240925
