id	effectiveTime	active	moduleId	definitionStatusId
999007371000230105	20200427	1	999000011000230102	900000000000074008
999007411000230109	20200427	1	999000011000230102	900000000000074008
999007451000230108	20200427	1	999000011000230102	900000000000074008
999007491000230103	20200427	1	999000011000230102	900000000000074008
999007531000230103	20230818	0	999000011000230102	900000000000074008
999007571000230101	20230818	0	999000011000230102	900000000000074008
999007611000230107	20230818	0	999000011000230102	900000000000074008
999007651000230106	20200427	1	999000011000230102	900000000000074008
999007691000230101	20200427	1	999000011000230102	900000000000074008
999007731000230109	20200427	1	999000011000230102	900000000000074008
999007771000230106	20200427	1	999000011000230102	900000000000074008
999007811000230106	20200427	1	999000011000230102	900000000000074008
999007851000230105	20200427	1	999000011000230102	900000000000074008
999007891000230100	20200427	1	999000011000230102	900000000000074008
999007931000230107	20200427	1	999000011000230102	900000000000074008
999007971000230109	20200427	1	999000011000230102	900000000000074008
999008011000230100	20200427	1	999000011000230102	900000000000074008
999008051000230101	20200427	1	999000011000230102	900000000000074008
999008091000230106	20200427	1	999000011000230102	900000000000074008
999008131000230109	20200427	1	999000011000230102	900000000000074008
999008171000230106	20200427	1	999000011000230102	900000000000074008
999008211000230109	20200427	1	999000011000230102	900000000000074008
999008251000230108	20200427	1	999000011000230102	900000000000074008
999008291000230103	20200427	1	999000011000230102	900000000000074008
999008331000230107	20200427	1	999000011000230102	900000000000074008
999008371000230109	20200427	1	999000011000230102	900000000000074008
999008411000230108	20200427	1	999000011000230102	900000000000074008
999008451000230107	20200427	1	999000011000230102	900000000000074008
999008491000230102	20200427	1	999000011000230102	900000000000074008
999008531000230102	20200427	1	999000011000230102	900000000000074008
999008571000230100	20200427	1	999000011000230102	900000000000074008
999008611000230106	20200427	1	999000011000230102	900000000000074008
999008651000230105	20200427	1	999000011000230102	900000000000074008
999008691000230100	20200427	1	999000011000230102	900000000000074008
999008731000230108	20200427	1	999000011000230102	900000000000074008
999008771000230105	20200427	1	999000011000230102	900000000000074008
999008811000230105	20200427	1	999000011000230102	900000000000074008
999008851000230109	20200427	1	999000011000230102	900000000000074008
999008931000230106	20200427	1	999000011000230102	900000000000074008
999008971000230108	20200427	1	999000011000230102	900000000000074008
999009011000230109	20200427	1	999000011000230102	900000000000074008
999009051000230108	20200427	1	999000011000230102	900000000000074008
999009091000230103	20200427	1	999000011000230102	900000000000074008
999009131000230100	20200427	1	999000011000230102	900000000000074008
999009171000230103	20200427	1	999000011000230102	900000000000074008
999009211000230100	20200427	1	999000011000230102	900000000000074008
999009251000230101	20200427	1	999000011000230102	900000000000074008
999009291000230106	20200427	1	999000011000230102	900000000000074008
999009331000230102	20200427	1	999000011000230102	900000000000074008
999009371000230100	20200427	1	999000011000230102	900000000000074008
999009411000230101	20200427	1	999000011000230102	900000000000074008
999009451000230102	20200427	1	999000011000230102	900000000000074008
999009491000230107	20200427	1	999000011000230102	900000000000074008
999009531000230107	20200427	1	999000011000230102	900000000000074008
999009571000230109	20200427	1	999000011000230102	900000000000074008
999009611000230103	20200427	1	999000011000230102	900000000000074008
999009651000230104	20200427	1	999000011000230102	900000000000074008
999009691000230109	20200427	1	999000011000230102	900000000000074008
999009731000230101	20200427	1	999000011000230102	900000000000074008
999009771000230104	20200427	1	999000011000230102	900000000000074008
999009811000230104	20200427	1	999000011000230102	900000000000074008
999009851000230100	20200427	1	999000011000230102	900000000000074008
999009891000230105	20200427	1	999000011000230102	900000000000074008
999009931000230103	20200427	1	999000011000230102	900000000000074008
999009971000230101	20200427	1	999000011000230102	900000000000074008
999010011000230104	20200427	1	999000011000230102	900000000000074008
999010051000230100	20200427	1	999000011000230102	900000000000074008
999010091000230105	20200427	1	999000011000230102	900000000000074008
999010131000230108	20200427	1	999000011000230102	900000000000074008
999010171000230105	20200427	1	999000011000230102	900000000000074008
999010211000230108	20200427	1	999000011000230102	900000000000074008
999010251000230107	20200427	1	999000011000230102	900000000000074008
999010291000230102	20200427	1	999000011000230102	900000000000074008
999010331000230106	20200427	1	999000011000230102	900000000000074008
999010371000230108	20200427	1	999000011000230102	900000000000074008
999010411000230107	20200427	1	999000011000230102	900000000000074008
999010451000230106	20200427	1	999000011000230102	900000000000074008
999010491000230101	20200427	1	999000011000230102	900000000000074008
999010531000230101	20200427	1	999000011000230102	900000000000074008
999010571000230104	20200427	1	999000011000230102	900000000000074008
999010611000230105	20200427	1	999000011000230102	900000000000074008
999010651000230109	20200427	1	999000011000230102	900000000000074008
999010691000230104	20200427	1	999000011000230102	900000000000074008
999010731000230107	20200427	1	999000011000230102	900000000000074008
999010771000230109	20200427	1	999000011000230102	900000000000074008
999010811000230109	20200427	1	999000011000230102	900000000000074008
999010851000230108	20200427	1	999000011000230102	900000000000074008
999010891000230103	20200427	1	999000011000230102	900000000000074008
999010931000230105	20200427	1	999000011000230102	900000000000074008
999010971000230107	20200427	1	999000011000230102	900000000000074008
999011011000230107	20200427	1	999000011000230102	900000000000074008
999011051000230106	20200427	1	999000011000230102	900000000000074008
999011091000230101	20200427	1	999000011000230102	900000000000074008
999011131000230103	20200427	1	999000011000230102	900000000000074008
999011171000230101	20200427	1	999000011000230102	900000000000074008
999011211000230103	20200427	1	999000011000230102	900000000000074008
999011251000230104	20200427	1	999000011000230102	900000000000074008
999011291000230109	20200427	1	999000011000230102	900000000000074008
